,answerKey,question,choices
43,E,Where can you find someone's number written on paper?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['math book', 'mathematics', 'office', 'lottery', 'phonebook'],
      dtype=object)}"
44,E,Where could you find insects eating something green?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['air', 'rock', 'arctic', 'log', 'field'], dtype=object)}"
45,D,What is a country that is known for a high population of beaver?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['woodlands', 'rivers', 'ontario', 'canada', 'zoo'], dtype=object)}"
46,E,"The man reduced the town to rubble out of hate, what was his goal?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['wage war', 'play nice', 'fight enemy', 'stab to death',
       'destroy enemy'], dtype=object)}"
47,B,Evening comes after what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sunset', 'daytime', 'dawn', 'night', 'early morning'],
      dtype=object)}"
48,A,What do taking illegal drugs do long term?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cause illness', 'damage', 'benefit well-being', 'cause accidents',
       'change state of mind'], dtype=object)}"
49,C,"The wind tore off the shingles, what was the wind like?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dry hair', 'spreading', 'blowing hard', 'change direction',
       'wave wheat'], dtype=object)}"
50,A,Who can have the most influence on washington from a given county?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['representative', 'cleverest', 'bitterest', 'alter', 'sweet'],
      dtype=object)}"
51,A,Why would you be doing housework?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cleanliness', 'allergies', 'joy', 'exhaustion', 'boredom'],
      dtype=object)}"
52,C,"The sickness was beginning to fade after resting, he was what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['relaxation', 'relaxation', 'feeling better', 'recuperation',
       'doing nothing'], dtype=object)}"
53,E,Seeing a shark near Tahiti means you're where?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['baltic sea', 'gulf of mexico', 'pool hall', 'mediterranean sea',
       'south pacific'], dtype=object)}"
54,B,"The kids had been having fun all day, there was now a what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['wild ride', 'need for rest', 'a massive bear', 'playing marbles',
       'constructing'], dtype=object)}"
55,B,Where is a good place to keep many a pencil?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['office depot', 'cup', 'pencil shop', 'shelf', 'classroom'],
      dtype=object)}"
56,C,"He was in a rush and forgot his socks, what did he double check before leaving the hotel?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bed', 'shoes', 'suitcase', 'his pockets', 'sporting goods store'],
      dtype=object)}"
57,D,What is a head attached to?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['home', 'subordinate', 'foot', 'base', 'point'], dtype=object)}"
58,A,"As a human in a large northeastern city, where can you see animals?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['zoo', 'workplace', 'sky', 'new york city', 'many places'],
      dtype=object)}"
59,D,"The security detail had to keep an eye on the entire crowd, they were constantly scanning all the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['potato', 'body', 'focus', 'faces', ""person's head""], dtype=object)}"
60,D,Why do people participate in exercising?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tiredness', 'exhaustion', 'get sick', 'become stronger',
       'use energy'], dtype=object)}"
61,E,What would happen if you are loving another and he or she does not love you?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['satisfaction', 'peace', 'love', 'happiness', 'heartache'],
      dtype=object)}"
62,C,What could you find at a bus station that can help you?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['city centre', 'lottery ticket', 'maps', 'street', 'busy city'],
      dtype=object)}"
63,D,Hunger is an effective motivator for what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['spend money', 'eat quickly', 'taco tuesday', 'begin work',
       'have lunch'], dtype=object)}"
64,E,"The bus stop implemented a size restriction for luggage, where was the bus stop going?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['boarding bus', 'city', 'fast', 'urban area', 'airport'],
      dtype=object)}"
65,A,A valid contract has to be?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['signed', 'revised', 'rejected', 'written in blood',
       'written on paper'], dtype=object)}"
66,E,"The grain-seller needed dry storage, where should he put it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pantry', 'storage closet', 'building', 'wet', 'warehouse'],
      dtype=object)}"
67,A,Where might someone drive through rows of apple tree?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['countryside', 'mountains', 'front yard', 'wisconsin',
       'washington state'], dtype=object)}"
68,E,His mother took his schooling very seriously and wanted to be the president of what group?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['corporation', 'whitehouse', 'church', 'board room', 'pta'],
      dtype=object)}"
69,D,Why would a band be performing in front of a large number of people?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['blaring', 'record album', 'alarm', 'play music',
       'include drummer'], dtype=object)}"
70,D,If you've already received your drinks what is a waiter likely going to do next?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['set table', 'present bill', 'wears black', 'serve food', 'talk'],
      dtype=object)}"
71,D,James was sitting quietly because I was having trouble doing something.  What was he not doing easily?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['discomfort', 'anxiety', 'solitude', 'falling asleep',
       'play games'], dtype=object)}"
72,C,If you're needing to gain more land and have few resources what do you have to do?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['buy land', 'buy property', 'save money', 'earn money', 'work'],
      dtype=object)}"
73,D,Jamie wen to the theater near his home.  He was surrounded by servicemen.  Where might he be?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['washington dc', 'shopping mall', 'school', 'military base',
       'populated area'], dtype=object)}"
74,A,Where would you put your car keys if you want to go driving?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ignition switch', 'pocket', 'purse', 'home', 'trunk'],
      dtype=object)}"
75,B,Where would you put a computer other than a desk?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['apartment', 'table', 'school', 'office', 'house'], dtype=object)}"
76,B,"There's many places such as clerks, businesses, and more that a human can visit in a what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['surface of earth', 'office block', 'nearest house', 'theatre',
       'school'], dtype=object)}"
77,D,"All people need to move, otherwise what will atrophy?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feelings', 'shrink', 'free will', 'muscles', 'parents'],
      dtype=object)}"
78,B,Where might someone store guns in a loft?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['frame house', 'hunting lodge', 'kitchen', 'ranch',
       'city apartment'], dtype=object)}"
79,B,They say a person should do what if they want something sweet and healthy?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['order fries', 'eat fruit', 'feel stupid', 'water garden',
       'catch cold'], dtype=object)}"
80,B,When you're getting drunk and stumbling what might you be feeling?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['stumbling', 'nausea', 'fights', 'death',
       'your head hit the ground'], dtype=object)}"
81,E,"After a winning baseball game, what experience would a team member feel?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sensation', 'celebrating', 'happiness', 'recognition', 'pride'],
      dtype=object)}"
82,E,The company was very cheap.  The didn't do what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['have coffee', 'mail clients', 'commit crime', 'own factory',
       'pay employees'], dtype=object)}"
83,B,Where is a man likely to keep his sunglasses?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['drugstore', 'shirt pocket', 'purse', 'jeans pocket', 'bag'],
      dtype=object)}"
84,E,"James stove didn't work, so he had to cook where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bathroom', 'tent', 'living room', 'apartment', ""friend's house""],
      dtype=object)}"
85,C,Where would you get a bass clarinet to take home?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['orchestra', 'school band', 'music store', 'opera house', 'home'],
      dtype=object)}"
86,A,Where would you get a contraceptive if you do not have one?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['health center', 'vagina', 'emergency room', 'drawer',
       'medicine cabinet'], dtype=object)}"
87,A,Why might someone not get things they need?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cost money', 'fall apart', 'be demanding', 'happen to',
       'go wrong'], dtype=object)}"
88,D,What would you put in a teakettle?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['england', 'tea', 'cupboard', 'water', 'japanese tea room'],
      dtype=object)}"
89,C,Why do people spend time chatting with friends?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['moroseness', 'laughter', 'feel close to', 'feel relaxed',
       'gathering of information'], dtype=object)}"
90,D,Where do you stock weaponry?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['machine gun', 'fishing rod', 'tin can', 'artillery',
       'double in worth'], dtype=object)}"
91,A,"If there is something you have to accomplish in a short amount of time, how could you be successful?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['make haste', 'make trouble', 'make lunch', 'make war',
       'make progress'], dtype=object)}"
92,E,What would you be unable to do if you are bathing and your hands are wet?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dry skin', 'slip and fall', 'read a book', 'using soap',
       'reading newspaper'], dtype=object)}"
93,D,What country is the native home of lemurs?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['india', 'field', 'belarus', 'russia', 'heaven'], dtype=object)}"
94,B,Where would someone keep an unused hat?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['suitcase', 'closet', 'begging', 'head', 'lawnmower'], dtype=object)}"
95,A,What did I do that has made me on the ground?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['falling down', 'peace', 'forgetfulness', 'death', 'injury'],
      dtype=object)}"
96,E,"Tim flies airplanes, but not passenger planes.  He doesn't have to worry about passengers. All he has to do is what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['arrive late', 'teach', 'catch on fire', 'taxi', 'carry freight'],
      dtype=object)}"
97,B,"If I wanted to work a crossword puzzle, where might I find one?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['playground', 'newspaper', 'kindergarten class', 'toy store',
       'toy shop'], dtype=object)}"
98,D,Where would a bald eagle be safest?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['great outdoors', 'in washington', 'toy store', 'nature reserve',
       'on a flag'], dtype=object)}"
99,D,"Even though people in the team sometimes what, they argue constructively?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['are related', 'sign checks', 'like popcorn',
       'disagree with each other', 'talk to each other'], dtype=object)}"
100,D,If union workers go off strike it means management did what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['company closed', 'more money', 'complaints had been addressed',
       'demands were met', 'get back to work'], dtype=object)}"
101,B,"People look outside and see that it's cold and snowy, what do they likely opt to do?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['believe in god', 'stay in', 'wear swimsuit', 'eat corn',
       'expect to die'], dtype=object)}"
102,D,What type of building is a bank?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['main street', 'secure place', 'pool of currency',
       'financial center', 'grocery store'], dtype=object)}"
103,E,What do people do when they are bored?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['call friends', 'learn from each other', 'eat fish',
       'die of starvation', 'write stories'], dtype=object)}"
104,E,"He was a great man, because of this he had to keep the hair of his what trimmed?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dog', 'barber shop', 'mammals', ""person's head"", 'moustache'],
      dtype=object)}"
105,A,The banana was green and full of sugar.   Bart took a bite and immediately felt what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cloy', 'ripe', 'processed', 'yellow', 'glucose'], dtype=object)}"
106,E,Where could a bald eagle see for mile around?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['colorado', 'eyrie', 'treetop', 'wilderness area',
       'mountainous terrain'], dtype=object)}"
107,E,In what would you find gasoline in the water?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['gas station', 'refineries', 'drinking glass', 'power mower',
       'boat'], dtype=object)}"
108,E,James looked for a pencil sharpener.  Where might he look first?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cabinet', 'library', 'nightstand', 'stationery store',
       'desk drawer'], dtype=object)}"
109,E,When birds are looking for a mate they're going to be doing what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pretty smart', 'small', 'very colorful', 'pick up prostitutes',
       'singing'], dtype=object)}"
110,A,"The monkey realized he was surrounded by water, where was the monkey?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['madagascar', 'rain forest', 'captivity', 'on a tree',
       'french government'], dtype=object)}"
111,D,Jon put drops in his eyes so that they wouldn't do what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fill with tears', 'glass over', 'see work', 'dry out', 'fall out'],
      dtype=object)}"
112,B,What are beans typically used to make in a drink?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cooking', 'coffee', 'food store', 'cooking pot', 'boiling'],
      dtype=object)}"
113,B,"He was good at traditional science but excelled at social science, his favorite subject was what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['geography', 'history studies', 'math', 'religion', 'dancing'],
      dtype=object)}"
114,E,What has happened if you are dancing and you smell bad?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['becoming tired', 'fatigue', 'sore feet', 'break up', 'sweat'],
      dtype=object)}"
115,B,How would you get to a town?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['michigan', 'train station', 'countryside', 'squirrel', 'valley'],
      dtype=object)}"
116,D,"James likes listening to after a long and hard day, along with a cool bath.  He finds that it makes him what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ardor', 'amusement', 'fall asleep', 'feeling better',
       'enlightenment'], dtype=object)}"
117,E,Where would you find a heel on apparel?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['loaf of bread', 'foot', 'shoe', 'sock', 'boot'], dtype=object)}"
118,C,Where are you unlikely to find a taxi?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['airport', 'street', 'train station', 'downtown', 'taxiplane'],
      dtype=object)}"
119,A,John watches the well dressed people from a catwalk above the stage.  He listens to them speak rehearsed lines while the audience listens.  Where is he/,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['theatre', 'new york city', 'fashion show', 'construction site',
       'school play'], dtype=object)}"
120,D,Where do people go to borrow sugar?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['apartment', 'internet', 'buildings', ""neighbor's house"",
       'end of line'], dtype=object)}"
121,B,What does sex often make happen in people?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['making love', 'feel good', 'happyness', 'wonderful thing',
       'cloud judgment'], dtype=object)}"
122,B,What is a person the leader of after they are inagurated?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['earth', 'country', 'pack', 'organization', 'army'], dtype=object)}"
123,E,James crushed his paper coffee cup and then left it in its proper place.  Where might he have left it?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['coffee', 'desk', 'starbucks', 'cupboard', 'trash'], dtype=object)}"
124,B,Where would you find a shelf with toys for young people learning?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['corner', 'school building', 'wall', 'library', 'bookstore'],
      dtype=object)}"
125,B,"He was bound for llano estacado, where was his end goal?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['oklahoma', 'new mexico', 'texas', 'mexico', 'great plains'],
      dtype=object)}"
126,D,What could bringing suit do to a rivalry?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['going to court', 'randomness', 'anger', 'aggravation', 'tensions'],
      dtype=object)}"
127,A,Where is a bicycle likely to be stolen?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['street', 'schoolyard', 'toy store', 'netherlands', 'garage'],
      dtype=object)}"
128,C,Sam spent most of his time standing up.  His job was hectic and he never got any rest. But he was the best cashier at his workplace.    Where might he work?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bookstore', 'count till', 'supermarket', 'shop', 'preschool'],
      dtype=object)}"
129,D,"They needed a machine to help with their studies, it was used often in the where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['industrial area', 'restaurant', 'house', 'laboratory', 'office'],
      dtype=object)}"
130,A,Where are unwanted advertisements often delivered to a home?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['mail box', 'subway', 'mail bags', 'yard', 'television'],
      dtype=object)}"
131,D,"If a clock is ticking, what is its likely status?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['mechanical', 'fail to work', 'stop working', 'working correctly',
       'time event'], dtype=object)}"
132,E,The first or second floor is the safest from fire when you sleep where away from home?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['house', 'office building', 'parking space', 'school', 'hotel'],
      dtype=object)}"
